trial_number,state,value,threshold,alt_layer,rep1,beta,batch_size
78,FAIL,,6.78101403830235e-05,5.0,28.0,0.5372403822312098,256.0
79,FAIL,,7.122659456200117e-05,6.0,28.0,0.5578169062371514,256.0
80,FAIL,,6.928595950105e-05,5.0,28.0,0.5584814680147443,256.0
81,FAIL,,7.186911272096616e-05,5.0,28.0,0.5450075034975244,256.0
82,FAIL,,7.27690163028972e-05,5.0,28.0,0.5547584858458343,256.0
83,FAIL,,7.211699451319173e-05,5.0,28.0,0.5639179892716064,256.0
84,FAIL,,7.039474869712627e-05,5.0,28.0,0.5581807706770869,256.0
85,FAIL,,7.080198719742365e-05,5.0,28.0,0.5501282338429596,256.0
86,FAIL,,7.123116168821011e-05,5.0,28.0,0.555710129338355,256.0
87,FAIL,,6.753355154315745e-05,5.0,29.0,0.5753415467821849,256.0
88,FAIL,,6.857844001581565e-05,5.0,28.0,0.559375969249206,256.0
89,FAIL,,7.134337025331138e-05,5.0,29.0,0.5565486261295178,256.0
90,FAIL,,7.192662581550524e-05,5.0,28.0,0.5529051624102275,256.0
91,FAIL,,7.127897932051817e-05,5.0,28.0,0.5696415775765318,256.0
92,FAIL,,7.285846871137445e-05,5.0,29.0,0.5619006482130503,256.0
93,FAIL,,7.02194513087106e-05,5.0,30.0,0.5723513362460219,256.0
94,FAIL,,7.185622138896091e-05,5.0,28.0,0.5410092533980377,256.0
95,FAIL,,7.221295094449022e-05,5.0,28.0,0.5528643760080527,256.0
96,FAIL,,7.204243584286584e-05,5.0,28.0,0.552582859842516,256.0
97,FAIL,,7.450060135042399e-05,5.0,28.0,0.5347580842031786,256.0
98,FAIL,,7.04450532064591e-05,5.0,28.0,0.5530098531152852,256.0
99,FAIL,,7.329009756474094e-05,5.0,28.0,0.5547524762465632,256.0
100,FAIL,,7.443070228267448e-05,5.0,28.0,0.5444322889718137,256.0
101,FAIL,,7.216417471772336e-05,5.0,28.0,0.5510871724763056,256.0
102,FAIL,,6.828842527664979e-05,5.0,28.0,0.5518708370532943,256.0
103,FAIL,,6.977783833247326e-05,5.0,29.0,0.5567056257897507,256.0
104,FAIL,,6.773751523001774e-05,5.0,28.0,0.5517270243005085,256.0
105,FAIL,,7.237162886434907e-05,6.0,28.0,0.5556332271120087,256.0
106,FAIL,,7.089583557017359e-05,5.0,28.0,0.5282804105892196,256.0
107,FAIL,,7.126158425897124e-05,6.0,29.0,0.5735718120501485,256.0
108,FAIL,,7.064409232102585e-05,6.0,28.0,0.5486294937288921,256.0
109,FAIL,,7.138292157586278e-05,5.0,28.0,0.5569590888396342,256.0
110,FAIL,,7.039710794062886e-05,5.0,28.0,0.548994821102877,256.0
111,FAIL,,7.128323163059299e-05,6.0,28.0,0.545221023717085,256.0
112,FAIL,,7.133887734689553e-05,5.0,29.0,0.5527135813989174,256.0
113,FAIL,,7.240975079853276e-05,6.0,28.0,0.5502771309852509,256.0
114,FAIL,,7.269356103089594e-05,5.0,29.0,0.5576722222887984,256.0
115,FAIL,,7.132526304895465e-05,5.0,28.0,0.5596957076223815,256.0
116,FAIL,,7.434597992336564e-05,5.0,28.0,0.5474365891099952,256.0
117,FAIL,,7.27117034034608e-05,5.0,28.0,0.5562194743735973,256.0
118,FAIL,,6.790050838242207e-05,5.0,28.0,0.5526753197280514,256.0
119,FAIL,,7.353939891101354e-05,5.0,28.0,0.5374182441913968,256.0
120,FAIL,,7.183613392607193e-05,5.0,28.0,0.5541084515915542,256.0
121,FAIL,,7.111288970097809e-05,5.0,28.0,0.5557585841880843,256.0
122,FAIL,,6.919430508360023e-05,5.0,28.0,0.5521219753672575,256.0
123,FAIL,,7.33509072880771e-05,5.0,28.0,0.5496134897664688,256.0
124,FAIL,,7.486441947847978e-05,5.0,28.0,0.5667149353175441,256.0
125,FAIL,,7.249031096634307e-05,5.0,28.0,0.5547453932353451,256.0
126,FAIL,,7.086012414953687e-05,5.0,28.0,0.5628324133606293,256.0
127,FAIL,,7.208452985973075e-05,5.0,28.0,0.5530756911747573,256.0
128,FAIL,,6.924079964049356e-05,5.0,28.0,0.5535050290884249,256.0
129,FAIL,,7.394602058868186e-05,5.0,28.0,0.5444333454406749,256.0
130,FAIL,,6.801494672018371e-05,6.0,28.0,0.5518245108888614,256.0
131,FAIL,,6.941861100186514e-05,5.0,28.0,0.5524071333379297,256.0
132,FAIL,,6.932611691571079e-05,6.0,28.0,0.5495136351421489,256.0
133,FAIL,,7.074012189334987e-05,5.0,28.0,0.565109928121844,256.0
134,FAIL,,6.869073121664674e-05,5.0,28.0,0.5656507607363784,256.0
135,FAIL,,7.186915879122751e-05,5.0,28.0,0.5509798650596995,256.0
136,FAIL,,7.224754098643379e-05,5.0,28.0,0.5515032219472891,256.0
137,FAIL,,7.139105168701764e-05,5.0,28.0,0.5652278908906955,256.0
138,FAIL,,7.252238731120071e-05,5.0,28.0,0.555069786490732,256.0
139,FAIL,,7.00893321912534e-05,5.0,28.0,0.5475185247146672,256.0
140,FAIL,,6.950697403548035e-05,5.0,28.0,0.5549330138366303,256.0
141,FAIL,,6.93325839359208e-05,5.0,29.0,0.5563729721796028,256.0
142,FAIL,,7.324429012473956e-05,5.0,28.0,0.5626606759727538,256.0
143,FAIL,,7.239554630345655e-05,5.0,28.0,0.5521860690126306,256.0
144,FAIL,,7.286588593309085e-05,5.0,28.0,0.5602598400895029,256.0
145,FAIL,,7.271334463515267e-05,5.0,28.0,0.5523926458846126,256.0
